Conference,Division,Team,Game Type,Week,Venue,Venue Capacity,Venue Surface,Venue Type,Temperature,Weather Condition,Humidity,Wind Speed,Wind Direction,Total First Downs,Passing First Downs,Rushing First Downs,Penalty First Downs,Third Down Attempts,Third Down Conversions,Third Down Conversion %,Third Down Passing Conversions,Third Down Rushing Conversions,Third Down Penalty Conversions,Fourth Down Attempts,Fourth Down Conversions,Fourth Down Conversion %,Fourth Down Passing Conversions,Fourth Down Rushing Conversions,Fourth Down Penalty Conversions,Total Plays,Total Yards,Yards per Play,Rushing Plays,Rushing Yards,Rushing Yards per Play,Passing Plays,Passing Completions,Passing Yards per Play,Interceptions,Sacks,Net Passing Yards,Gross Passing Yards,Sack Yards,Total Return Yards,Punt Returns,Punt Return Yards,Kick-off Returns,Kick-off Return Yards,Interception Returns,Interception Return Yards,Kick-offs,Kick-offs in Endzone,Touchbacks,Punts,Average Punt Yards,Punts Blocked,Average Net Punt Yards,Penalties,Penalty Yards,Fumbles,Fumbles Lost,Total TD,Passing TD,Rushing TD,Interception TD,Fumble TD,Punt Return TD,Kick-off Return TD,Field Goal Return TD,Extra Point Attempts,Extra Points Made,Extra Points Blocked,Two-Point Conversion Attempts,Two-Point Conversions Made,Field Goal Attempts,Field Goals Made,Field Goals Blocked,Redzone Visits,Redzone TD,Redzone Efficiency,Goal-to-go Attempts,Goal-to-go TD,Goal-to-go Efficiency,Safeties,Turnovers,Points Scored,Time of Possesion,Win / Loss
AFC,AFC North,CLE,REG,2,FirstEnergy Stadium,71516,turf,outdoor,59,Overcast ,59,0,N,23,14,7,2,16,7,43.75,6,1,0,2,2,100,1,1,0,72,324,4.5,30,122,4.067,41,24,4.81,0,1,202,204,2,64,1,2,2,37,1,62,6,5,3,5,41.6,0,42,4,30,0,0,3,1,1,1,0,0,0,0,2,2,0,1,0,2,2,0,4,2,50,2,2,100,0,0,26,28:10,W
NFC,NFC South,NO,REG,2,FirstEnergy Stadium,71516,turf,outdoor,59,Overcast ,59,0,N,26,16,10,0,13,7,53.846,5,2,0,0,0,0,0,0,0,69,397,5.754,27,174,6.444,40,27,5.31,1,2,223,237,14,-2,1,-2,3,63,0,0,5,4,3,5,41.2,0,40.8,5,39,1,1,3,2,1,0,0,0,0,0,3,3,0,0,0,1,1,0,4,3,75,3,3,100,0,2,24,31:50,L
AFC,AFC North,CIN,REG,2,Paul Brown Stadium,65535,artificial,outdoor,64,Partly Cloudy ,52,0,ESE,21,10,10,1,14,6,42.857,3,3,0,0,0,0,0,0,0,69,472,6.841,45,170,3.778,24,16,12.583,0,0,302,302,0,65,3,26,1,29,3,39,5,5,1,4,42.75,0,41,7,55,0,0,3,1,2,0,0,0,0,0,3,3,0,0,0,4,1,0,3,2,66.667,2,2,100,0,0,24,32:59,W
NFC,NFC South,ATL,REG,2,Paul Brown Stadium,65535,artificial,outdoor,64,Partly Cloudy ,52,0,ESE,19,11,6,2,12,3,25,2,1,0,2,1,50,1,0,0,65,309,4.754,19,97,5.105,44,24,4.609,3,2,212,231,19,7,1,7,4,118,0,0,3,2,1,6,44.333,0,36.667,7,56,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,100,0,0,0,0,3,10,27:01,L
NFC,NFC East,WAS,REG,2,FedEx Field,83000,turf,outdoor,64,Sunny,52,4,N,32,16,12,4,14,6,42.857,6,0,0,2,1,50,0,1,0,81,449,5.543,42,191,4.548,36,24,6.615,0,3,258,288,30,73,7,59,1,0,1,14,8,7,3,4,49.75,0,42.5,11,98,0,0,5,2,3,0,0,0,0,0,5,5,0,0,0,2,2,0,6,4,66.667,4,3,75,0,0,41,39:01,W
AFC,AFC South,JAC,REG,2,FedEx Field,83000,turf,outdoor,64,Sunny,52,4,N,8,4,2,2,13,3,23.077,3,0,0,1,0,0,0,0,0,48,148,3.083,10,25,2.5,28,14,3.237,1,10,123,193,70,9,2,9,5,137,0,0,3,2,2,8,47.875,0,40.5,6,44,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,10,20:59,L
NFC,NFC East,NYG,REG,2,MetLife Stadium,82500,artificial,outdoor,64,Sunny,49,0,N,24,15,5,4,12,6,50,5,1,0,1,0,0,0,0,0,68,341,5.015,27,81,3,39,26,6.341,2,2,260,277,17,0,2,0,6,143,0,0,3,3,1,4,44.25,0,20.25,9,70,2,2,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,2,66.667,1,1,100,0,4,14,32:29,L
NFC,NFC West,ARI,REG,2,MetLife Stadium,82500,artificial,outdoor,64,Sunny,49,0,N,21,9,6,6,13,5,38.462,2,3,0,0,0,0,0,0,0,61,266,4.361,28,124,4.429,29,14,4.303,0,4,142,167,25,79,2,76,2,28,2,3,7,7,1,4,41,0,41,7,71,0,0,2,0,1,0,0,1,0,0,1,1,0,1,0,4,4,0,4,1,25,1,1,100,0,0,25,27:31,W
AFC,AFC West,SD,REG,2,Qualcomm Stadium,70561,turf,outdoor,82,Partly Cloudy ,55,13,NW,26,17,7,2,17,10,58.824,8,2,0,0,0,0,0,0,0,75,377,5.027,37,101,2.73,37,28,7.263,0,1,276,284,8,6,1,6,1,0,0,0,7,2,0,3,41.333,0,34.667,6,53,3,0,3,3,0,0,0,0,0,0,3,3,0,0,0,3,3,0,4,3,75,3,2,66.667,0,0,30,42:15,W
NFC,NFC West,SEA,REG,2,Qualcomm Stadium,70561,turf,outdoor,82,Partly Cloudy ,55,13,NW,14,9,4,1,8,3,37.5,2,1,0,1,0,0,0,0,0,40,288,7.2,13,108,8.308,25,17,6.667,0,2,180,202,22,0,0,0,6,94,0,0,4,3,3,4,53.25,0,41.75,8,53,2,1,3,2,1,0,0,0,0,0,3,3,0,0,0,0,0,0,2,2,100,1,1,100,0,1,21,17:45,L
NFC,NFC South,TB,REG,2,Raymond James Stadium,65890,turf,outdoor,,,,,,18,7,8,3,8,4,50,2,2,0,0,0,0,0,0,0,52,332,6.385,30,157,5.233,21,16,7.955,1,1,175,179,4,0,1,0,4,116,0,0,4,2,2,1,27,1,27.5,4,30,1,0,2,0,2,0,0,0,0,0,2,2,0,0,0,2,1,1,5,2,40,3,2,66.667,0,1,17,27:55,L
NFC,NFC West,STL,REG,2,Raymond James Stadium,65890,turf,outdoor,,,,,,20,14,6,0,11,5,45.455,5,0,0,0,0,0,0,0,0,60,339,5.65,29,119,4.103,29,22,7.097,0,2,220,235,15,-1,1,-1,2,22,1,0,6,4,2,2,49,0,49,5,65,2,1,1,0,1,0,0,0,0,0,1,1,0,0,0,4,4,0,3,1,33.333,1,1,100,0,1,19,32:05,W
AFC,AFC West,OAK,REG,2,O.co Coliseum,53200,turf,outdoor,70,Partly Cloudy ,64,11,W,22,16,5,1,9,2,22.222,1,1,0,2,2,100,1,1,0,59,364,6.169,17,101,5.941,42,27,6.262,2,0,263,263,0,3,1,3,4,103,0,0,3,2,2,3,40,0,37,5,24,4,2,2,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,100,2,2,100,0,4,14,21:24,L
AFC,AFC South,HOU,REG,2,O.co Coliseum,53200,turf,outdoor,70,Partly Cloudy ,64,11,W,20,9,9,2,15,9,60,5,4,0,0,0,0,0,0,0,65,327,5.031,46,188,4.087,19,14,7.316,0,0,139,139,0,79,2,9,0,0,2,70,7,7,3,2,50,0,48.5,7,85,1,0,3,2,1,0,0,0,0,0,3,3,0,0,0,4,3,1,5,3,60,3,2,66.667,0,0,30,38:36,W
NFC,NFC North,GB,REG,2,Lambeau Field,80750,turf,outdoor,63,Sunny,52,17,S,25,17,5,3,14,7,50,6,1,0,0,0,0,0,0,0,68,390,5.735,22,80,3.636,42,25,6.739,0,4,310,346,36,15,3,15,2,58,1,0,7,5,4,4,49.25,0,46.5,3,34,3,1,3,3,0,0,0,0,0,0,2,2,0,1,1,3,3,0,4,2,50,3,2,66.667,0,1,31,29:34,W
AFC,AFC East,NYJ,REG,2,Lambeau Field,80750,turf,outdoor,63,Sunny,52,17,S,19,11,7,1,17,8,47.059,4,4,0,3,2,66.667,2,0,0,71,313,4.408,37,147,3.973,32,16,4.882,1,2,166,176,10,11,3,11,3,29,0,0,5,4,3,5,46.6,0,43.6,7,82,1,0,3,1,2,0,0,0,0,0,3,3,0,0,0,1,1,0,2,2,100,2,2,100,0,1,24,30:26,L
AFC,AFC West,DEN,REG,2,Sports Authority Field at Mile High,76125,turf,outdoor,80,Partly Cloudy ,17,0,W,19,14,4,1,8,3,37.5,2,1,0,1,1,100,0,1,0,46,325,7.065,19,88,4.632,26,21,8.778,0,1,237,242,5,0,0,0,1,54,0,0,5,5,4,3,44,0,43.333,11,71,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,1,1,0,4,3,75,3,2,66.667,0,0,24,23:46,W
AFC,AFC West,KC,REG,2,Sports Authority Field at Mile High,76125,turf,outdoor,80,Partly Cloudy ,17,0,W,28,18,6,4,16,11,68.75,10,1,0,1,0,0,0,0,0,75,380,5.067,31,133,4.29,42,26,5.614,0,2,247,255,8,2,2,2,1,37,0,0,4,4,3,2,40,0,40,7,62,1,0,2,0,2,0,0,0,0,0,2,2,0,0,0,2,1,0,4,2,50,4,2,50,0,0,17,36:14,L
NFC,NFC West,SF,REG,2,Levi's Stadium,68500,turf,outdoor,79,Partly Cloudy ,48,11,W,19,13,5,1,13,7,53.846,5,2,0,2,1,50,1,0,0,65,359,5.523,27,127,4.704,34,21,6.105,3,4,232,248,16,24,4,24,3,57,0,0,5,5,4,1,54,0,53,16,118,2,1,2,1,1,0,0,0,0,0,2,2,0,0,0,2,2,0,5,2,40,3,2,66.667,0,4,20,33:51,L
NFC,NFC North,CHI,REG,2,Levi's Stadium,68500,turf,outdoor,79,Partly Cloudy ,48,11,W,19,10,3,6,9,3,33.333,2,1,0,0,0,0,0,0,0,52,216,4.154,17,46,2.706,34,23,4.857,0,1,170,176,6,34,1,1,1,21,3,33,5,3,2,5,39.667,1,32.333,10,58,1,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,100,2,2,100,0,0,28,26:09,W
AFC,AFC South,IND,REG,2,Lucas Oil Stadium,67000,artificial,retractable_dome,57,Light rain,88,4,W,25,14,7,4,12,4,33.333,3,1,0,1,1,100,1,0,0,72,341,4.736,38,169,4.447,34,20,5.059,1,0,172,172,0,44,4,44,2,54,1,0,6,6,5,4,55.25,0,49,4,70,2,1,3,3,0,0,0,0,0,0,3,3,0,0,0,2,2,0,4,3,75,2,2,100,0,2,27,36:15,L
NFC,NFC East,PHI,REG,2,Lucas Oil Stadium,67000,artificial,retractable_dome,57,Light rain,88,4,W,24,13,9,2,12,5,41.667,2,3,0,0,0,0,0,0,0,65,458,7.046,28,127,4.536,37,21,8.946,1,0,331,331,0,33,4,25,1,21,1,8,6,5,4,4,53.75,0,42.75,11,90,0,0,3,1,2,0,0,0,0,0,3,3,0,0,0,4,3,0,6,3,50,5,3,60,0,1,30,23:45,W
NFC,NFC South,ATL,REG,3,Georgia Dome,74228,artificial,dome,81,Clear ,51,0,N,26,17,7,2,11,8,72.727,7,1,0,0,0,0,0,0,0,65,488,7.508,36,144,4,28,24,11.862,1,1,344,350,6,91,3,68,1,29,1,23,9,7,5,2,42,0,37.5,5,50,4,3,8,3,3,1,0,1,0,0,8,8,0,0,0,1,0,0,4,3,75,2,2,100,0,4,56,32:39,W
NFC,NFC South,TB,REG,3,Georgia Dome,74228,artificial,dome,81,Clear ,51,0,N,10,7,3,0,13,3,23.077,2,1,0,1,1,100,0,1,0,57,217,3.807,18,64,3.556,36,22,3.923,1,3,153,179,26,36,1,9,4,78,1,27,3,2,2,7,43.857,0,34.143,11,110,5,4,2,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,1,1,100,0,0,0,0,5,14,27:21,L
NFC,NFC North,DET,REG,3,Ford Field,65000,artificial,dome,66,Partly Cloudy ,64,14,W,21,13,6,2,18,11,61.111,7,4,0,0,0,0,0,0,0,74,353,4.77,38,115,3.026,34,22,6.611,2,2,238,246,8,16,2,16,2,56,0,0,4,4,2,2,52,0,40.5,6,40,1,1,2,0,1,0,1,0,0,0,2,2,0,0,0,2,1,0,2,0,0,2,0,0,0,3,19,38:13,L
NFC,NFC North,GB,REG,3,Ford Field,65000,artificial,dome,66,Partly Cloudy ,64,14,W,14,9,3,2,10,4,40,3,1,0,1,0,0,0,0,0,51,223,4.373,22,76,3.455,27,16,5.069,0,2,147,162,15,32,2,23,2,51,2,9,3,2,1,5,43,0,39.8,5,30,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,50,0,0,0,1,1,7,21:47,W
AFC,AFC North,CIN,REG,3,Paul Brown Stadium,65535,artificial,outdoor,77,Partly Cloudy ,61,15,W,25,10,11,4,9,3,33.333,1,2,0,1,0,0,0,0,0,57,300,5.263,31,116,3.742,26,17,7.077,1,0,184,184,0,2,0,0,1,18,2,2,6,6,4,4,49.25,0,49,7,50,0,0,4,1,3,0,0,0,0,0,4,4,0,0,0,1,1,0,5,4,80,3,3,100,0,1,33,28:44,L
AFC,AFC South,TEN,REG,3,Paul Brown Stadium,65535,artificial,outdoor,77,Partly Cloudy ,61,15,W,22,7,11,4,12,2,16.667,1,1,0,2,1,50,0,1,0,64,326,5.094,28,149,5.321,34,17,4.917,2,2,177,185,8,1,1,1,2,56,1,0,3,1,1,4,35.25,0,25.25,11,99,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,3,1,33.333,1,1,100,0,2,7,31:16,W
NFC,NFC West,STL,REG,3,Edward Jones Dome,66000,artificial,dome,,,,,,26,18,7,1,13,8,61.538,7,1,0,2,1,50,0,1,0,72,448,6.222,30,121,4.033,42,30,7.786,2,0,327,327,0,26,1,1,2,53,1,25,6,6,3,1,24,0,24,8,119,1,1,4,3,0,1,0,0,0,0,4,4,0,0,0,1,1,0,4,2,50,2,2,100,0,3,31,32:50,L
NFC,NFC East,DAL,REG,3,Edward Jones Dome,66000,artificial,dome,,,,,,19,10,5,4,10,5,50,4,1,0,0,0,0,0,0,0,52,340,6.538,29,123,4.241,23,18,9.435,1,0,217,217,0,25,0,0,3,74,2,25,7,7,5,2,39,0,38.5,3,15,1,1,4,2,1,1,0,0,0,0,4,4,0,0,0,2,2,0,3,2,66.667,1,1,100,0,2,34,27:10,W
NFC,NFC East,PHI,REG,3,Lincoln Financial Field,68532,turf,outdoor,72,Overcast ,78,4,E,22,14,3,5,11,4,36.364,3,1,0,0,0,0,0,0,0,66,379,5.742,25,54,2.16,41,27,7.927,0,0,325,325,0,33,2,27,3,153,1,6,8,7,5,4,37.25,0,35.75,9,70,2,1,4,3,0,0,0,0,1,0,4,4,0,0,0,3,3,0,4,2,50,1,1,100,0,1,37,25:12,W
NFC,NFC East,WAS,REG,3,Lincoln Financial Field,68532,turf,outdoor,72,Overcast ,78,4,E,27,18,6,3,15,8,53.333,5,3,0,1,0,0,0,0,0,76,511,6.724,28,84,3,48,30,8.896,1,0,427,427,0,6,1,6,3,46,0,0,7,5,4,3,56.667,0,41,10,131,1,0,4,3,1,0,0,0,0,0,4,4,0,0,0,3,2,0,4,3,75,3,3,100,0,1,34,34:48,L
AFC,AFC East,NE,REG,3,Gillette Stadium,68756,artificial,outdoor,79,Partly Cloudy ,65,11,SSE,21,14,5,2,18,9,50,6,3,0,1,0,0,0,0,0,71,297,4.183,32,76,2.375,37,24,5.667,0,2,221,234,13,8,1,7,1,26,1,1,4,4,4,5,48,0,40.8,6,59,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,3,3,0,4,1,25,2,0,0,0,0,16,31:35,L
AFC,AFC West,OAK,REG,3,Gillette Stadium,68756,artificial,outdoor,79,Partly Cloudy ,65,11,SSE,14,9,3,2,13,5,38.462,5,0,0,0,0,0,0,0,0,56,241,4.304,22,67,3.045,34,21,5.118,1,0,174,174,0,36,4,36,0,0,0,0,4,3,3,5,43.2,0,41.8,6,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,1,0,0,0,1,9,28:25,W
NFC,NFC East,NYG,REG,3,MetLife Stadium,82500,artificial,outdoor,72,Mist,83,4,N,26,10,14,2,12,4,33.333,1,3,0,1,0,0,0,0,0,71,419,5.901,42,193,4.595,28,21,7.793,0,1,226,234,8,47,2,12,1,17,3,35,7,5,4,4,39.75,0,39,4,31,2,1,3,2,1,0,0,0,0,0,3,3,0,0,0,3,3,0,7,2,28.571,2,2,100,0,1,30,32:34,W
AFC,AFC South,HOU,REG,3,MetLife Stadium,82500,artificial,outdoor,72,Mist,83,4,N,20,14,4,2,12,2,16.667,0,2,0,2,1,50,1,0,0,62,411,6.629,25,119,4.76,35,21,7.892,3,2,292,299,7,3,1,3,3,67,0,0,4,2,2,4,41,1,34.6,5,40,1,0,2,1,1,0,0,0,0,0,2,2,0,0,0,1,1,0,2,1,50,1,1,100,0,3,17,27:26,L
AFC,AFC East,BUF,REG,3,Ralph Wilson Stadium,73079,artificial,outdoor,73,Partly Cloudy ,69,27,SW,18,9,6,3,14,6,42.857,3,3,0,2,0,0,0,0,0,65,292,4.492,22,87,3.955,40,23,4.767,0,3,205,238,33,0,1,0,3,44,0,0,4,3,3,5,45.2,0,44,11,101,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,1,50,0,0,0,1,0,10,28:26,L
AFC,AFC West,SD,REG,3,Ralph Wilson Stadium,73079,artificial,outdoor,73,Partly Cloudy ,69,27,SW,20,11,4,5,13,5,38.462,3,2,0,0,0,0,0,0,0,63,333,5.286,36,83,2.306,25,18,9.259,0,2,250,256,6,6,3,6,0,0,0,0,5,2,2,6,49.667,0,39.667,6,44,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,2,2,0,4,2,50,3,2,66.667,0,0,22,31:34,W
AFC,AFC South,JAC,REG,3,EverBank Field,67246,turf,outdoor,,,,,,18,10,6,2,10,4,40,4,0,0,0,0,0,0,0,0,55,344,6.255,20,105,5.25,31,18,6.829,2,4,239,256,17,0,0,0,1,26,0,0,4,4,4,5,46.4,0,42.4,2,15,1,1,2,2,0,0,0,0,0,0,2,2,0,0,0,1,1,0,1,1,100,1,1,100,0,3,17,22:57,L
AFC,AFC South,IND,REG,3,EverBank Field,67246,turf,outdoor,,,,,,27,22,5,0,14,8,57.143,8,0,0,1,0,0,0,0,0,74,529,7.149,29,144,4.966,43,33,8.556,0,2,385,390,5,40,0,0,0,0,2,40,9,9,8,2,53.5,0,53.5,8,46,0,0,5,4,0,1,0,0,0,0,5,5,0,0,0,3,3,0,6,4,66.667,3,3,100,0,0,44,37:03,W
NFC,NFC South,NO,REG,3,Mercedes-Benz Superdome,76468,artificial,dome,85,Partly Cloudy ,63,11,ENE,27,17,8,2,13,9,69.231,8,1,0,0,0,0,0,0,0,68,396,5.824,32,108,3.375,35,27,8,0,1,288,293,5,-3,1,-3,0,0,0,0,4,4,0,4,46.75,0,44,4,30,1,0,3,2,1,0,0,0,0,0,3,2,1,0,0,0,0,0,3,2,66.667,1,1,100,0,0,20,33:33,L
NFC,NFC North,MIN,REG,3,Mercedes-Benz Superdome,76468,artificial,dome,85,Partly Cloudy ,63,11,ENE,13,8,3,2,15,6,40,4,2,0,0,0,0,0,0,0,54,247,4.574,22,59,2.682,30,17,5.875,0,2,188,203,15,11,4,11,4,120,0,0,4,4,4,4,45.25,0,46,5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,1,0,0,0,0,9,26:27,W
AFC,AFC North,CLE,REG,3,FirstEnergy Stadium,71516,turf,outdoor,70,Partly Cloudy ,73,24,W,19,11,6,2,11,5,45.455,5,0,0,0,0,0,0,0,0,55,375,6.818,30,85,2.833,25,19,11.6,0,0,290,290,0,17,1,0,1,31,1,17,4,4,4,4,45,0,40,12,94,1,0,3,1,2,0,0,0,0,0,3,3,0,0,0,2,0,1,4,3,75,3,2,66.667,0,0,21,29:05,L
AFC,AFC North,BAL,REG,3,FirstEnergy Stadium,71516,turf,outdoor,70,Partly Cloudy ,73,24,W,25,8,12,5,12,4,33.333,2,2,0,1,0,0,0,0,0,64,377,5.891,33,160,4.848,31,19,7,1,0,217,217,0,0,0,0,0,0,0,0,5,5,4,3,50.667,0,44,5,32,0,0,2,1,1,0,0,0,0,0,2,2,0,0,0,3,3,0,5,2,40,3,2,66.667,0,1,23,30:55,W
NFC,NFC West,ARI,REG,3,University of Phoenix Stadium,63400,turf,retractable_dome,95,Partly Cloudy ,22,0,N,24,12,5,7,13,8,61.538,7,1,0,1,1,100,0,1,0,61,338,5.541,27,84,3.111,34,19,7.471,0,0,254,254,0,8,1,8,0,0,0,0,6,6,4,1,49,0,35,5,36,1,1,2,2,0,0,0,0,0,0,2,2,0,0,0,3,3,0,4,1,25,2,0,0,0,1,23,27:40,W
NFC,NFC West,SF,REG,3,University of Phoenix Stadium,63400,turf,retractable_dome,95,Partly Cloudy ,22,0,N,20,15,4,1,12,6,50,6,0,0,1,1,100,1,0,0,61,318,5.213,23,82,3.565,37,29,6.211,0,1,236,245,9,14,1,14,2,44,0,0,3,3,3,4,43.5,0,41.5,9,107,0,0,2,1,1,0,0,0,0,0,2,2,0,0,0,1,0,1,3,2,66.667,3,2,66.667,0,0,14,32:20,L
AFC,AFC East,MIA,REG,3,Sun Life Stadium,76100,turf,outdoor,,,,,,18,12,6,0,15,4,26.667,4,0,0,2,0,0,0,0,0,67,332,4.955,20,141,7.05,43,21,4.064,0,4,191,205,14,11,3,11,7,212,0,0,3,2,0,7,46.714,0,32.429,6,65,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,3,2,0,2,1,50,1,1,100,0,0,15,26:18,L
AFC,AFC West,KC,REG,3,Sun Life Stadium,76100,turf,outdoor,,,,,,23,14,8,1,16,9,56.25,4,5,0,1,1,100,0,1,0,71,342,4.817,41,174,4.244,25,19,5.6,0,5,168,186,18,100,5,100,3,65,0,0,7,4,0,5,51,0,48.8,4,23,4,2,5,3,2,0,0,0,0,0,4,4,0,1,0,0,0,0,3,3,100,1,1,100,1,2,34,33:42,W
NFC,NFC West,SEA,REG,3,CenturyLink Field,67000,artificial,outdoor,77,Sunny,47,7,SE,26,16,8,2,17,7,41.176,2,5,0,0,0,0,0,0,0,75,384,5.12,37,129,3.486,35,25,6.711,1,3,255,275,20,88,5,36,1,13,1,52,6,5,5,6,50.167,0,47.667,7,34,1,0,3,2,1,0,0,0,0,0,2,2,0,0,0,3,2,1,4,2,50,3,2,66.667,1,1,26,38:04,W
AFC,AFC West,DEN,REG,3,CenturyLink Field,67000,artificial,outdoor,77,Sunny,47,7,SE,20,18,1,1,16,6,37.5,5,1,0,0,0,0,0,0,0,70,332,4.743,20,36,1.8,49,31,5.92,1,1,296,303,7,28,2,15,1,22,1,13,5,5,4,8,47.25,0,42.75,4,27,1,1,2,2,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,1,50,2,1,50,0,2,20,27:42,L
NFC,NFC South,CAR,REG,3,Bank of America Stadium,73778,turf,outdoor,81,Partly Cloudy ,54,4,SW,20,14,3,3,12,4,33.333,4,0,0,1,1,100,1,0,0,54,349,6.463,10,42,4.2,41,29,6.977,0,3,307,330,23,-10,1,-10,2,43,0,0,5,5,5,4,52.5,0,43.25,7,105,3,2,2,2,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,0,0,0,0,0,0,2,19,25:21,L
AFC,AFC North,PIT,REG,3,Bank of America Stadium,73778,turf,outdoor,81,Partly Cloudy ,54,4,SW,24,9,12,3,11,3,27.273,2,1,0,1,1,100,0,1,0,65,454,6.985,34,264,7.765,30,22,6.129,0,1,190,196,6,17,2,17,0,0,0,0,7,6,5,3,46,0,49.333,11,91,0,0,4,2,1,0,1,0,0,0,4,4,0,0,0,3,3,0,4,3,75,4,3,75,0,0,37,34:39,W
AFC,AFC East,NYJ,REG,3,MetLife Stadium,82500,artificial,outdoor,63,Clear ,42,14,NW,21,15,3,3,15,6,40,6,0,0,2,1,50,1,0,0,72,414,5.75,26,114,4.385,43,26,6.522,2,3,300,316,16,10,3,10,4,82,0,0,6,4,2,3,48.333,0,38,6,78,5,1,1,1,0,0,0,0,0,0,1,1,0,0,0,4,4,0,6,1,16.667,1,0,0,0,3,19,31:52,L
NFC,NFC North,CHI,REG,3,MetLife Stadium,82500,artificial,outdoor,63,Clear ,42,14,NW,17,11,4,2,15,7,46.667,4,3,0,0,0,0,0,0,0,63,257,4.079,21,60,2.857,38,23,4.69,0,4,197,225,28,68,1,11,4,73,2,57,6,6,2,5,42.6,0,40.6,9,95,1,1,3,2,0,1,0,0,0,0,3,3,0,0,0,2,2,0,3,2,66.667,1,1,100,0,1,27,28:08,W
NFC,NFC East,WAS,REG,4,FedEx Field,83000,turf,outdoor,64,Overcast ,88,4,N,17,11,4,2,8,1,12.5,1,0,0,0,0,0,0,0,0,52,329,6.327,17,86,5.059,33,19,6.943,4,2,243,257,14,0,0,0,2,33,1,0,3,3,2,4,58.25,0,55.5,11,88,2,2,2,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,100,1,1,100,0,6,14,22:43,L
NFC,NFC East,NYG,REG,4,FedEx Field,83000,turf,outdoor,64,Overcast ,88,4,N,31,19,9,3,16,11,68.75,9,2,0,0,0,0,0,0,0,78,449,5.756,38,154,4.053,39,28,7.375,1,1,295,300,5,92,2,11,1,34,4,81,7,6,5,5,45,0,45,7,66,0,0,6,4,2,0,0,0,0,0,6,6,0,0,0,1,1,0,8,6,75,6,5,83.333,0,1,45,37:17,W
AFC,AFC South,HOU,REG,4,NRG Stadium,71054,turf,retractable_dome,82,Partly Cloudy ,70,6,NE,19,13,2,4,14,5,35.714,3,2,0,0,0,0,0,0,0,63,301,4.778,23,37,1.609,37,25,6.6,2,3,264,268,4,104,5,24,1,41,2,80,6,5,3,6,41.667,0,36.5,8,90,2,1,2,1,0,1,0,0,0,0,2,2,0,0,0,3,3,0,1,0,0,0,0,0,0,3,23,30:56,W
AFC,AFC East,BUF,REG,4,NRG Stadium,71054,turf,retractable_dome,82,Partly Cloudy ,70,6,NE,17,12,3,2,16,5,31.25,5,0,0,0,0,0,0,0,0,69,316,4.58,23,96,4.174,44,21,4.783,2,2,220,225,5,11,1,11,3,82,2,0,4,4,3,9,45.889,0,38.778,8,40,1,0,2,2,0,0,0,0,0,0,2,2,0,0,0,1,1,0,3,1,33.333,1,1,100,0,2,17,29:04,L
AFC,AFC North,PIT,REG,4,Heinz Field,65050,turf,outdoor,72,Sunny,50,7,WSW,27,18,6,3,14,6,42.857,5,1,0,1,1,100,0,1,0,73,390,5.342,27,85,3.148,41,30,6.63,0,5,305,331,26,27,0,0,1,25,1,27,5,4,3,4,37,0,29.75,13,125,2,1,3,3,0,0,0,0,0,0,3,3,0,0,0,2,1,0,3,2,66.667,3,2,66.667,0,1,24,34:15,L
NFC,NFC South,TB,REG,4,Heinz Field,65050,turf,outdoor,72,Sunny,50,7,WSW,21,11,7,3,13,7,53.846,6,1,0,1,0,0,0,0,0,64,350,5.469,20,63,3.15,43,21,6.523,1,1,287,302,15,29,2,29,2,45,0,0,6,6,5,3,35.333,0,35.333,9,50,0,0,3,2,1,0,0,0,0,0,3,3,0,0,0,2,2,0,5,3,60,4,3,75,0,1,27,25:45,W
AFC,AFC East,NYJ,REG,4,MetLife Stadium,82500,artificial,outdoor,,,,,,17,8,8,1,15,7,46.667,3,4,0,0,0,0,0,0,0,62,336,5.419,27,132,4.889,33,17,5.829,1,2,204,209,5,17,4,17,1,32,0,0,4,4,2,6,51.667,0,49.333,6,32,2,1,2,1,1,0,0,0,0,0,2,2,0,0,0,1,1,0,2,1,50,0,0,0,0,2,17,25:07,L
