Conference,Division,Team,Game Type,Week,Venue,Venue Capacity,Venue Surface,Venue Type,Temperature,Weather Condition,Humidity,Wind Speed,Wind Direction,Total First Downs,Passing First Downs,Rushing First Downs,Penalty First Downs,Third Down Attempts,Third Down Conversions,Third Down Conversion %,Third Down Passing Conversions,Third Down Rushing Conversions,Third Down Penalty Conversions,Fourth Down Attempts,Fourth Down Conversions,Fourth Down Conversion %,Fourth Down Passing Conversions,Fourth Down Rushing Conversions,Fourth Down Penalty Conversions,Total Plays,Total Yards,Yards per Play,Rushing Plays,Rushing Yards,Rushing Yards per Play,Passing Plays,Passing Completions,Passing Yards per Play,Interceptions,Sacks,Net Passing Yards,Gross Passing Yards,Sack Yards,Total Return Yards,Punt Returns,Punt Return Yards,Kick-off Returns,Kick-off Return Yards,Interception Returns,Interception Return Yards,Kick-offs,Kick-offs in Endzone,Touchbacks,Punts,Average Punt Yards,Punts Blocked,Average Net Punt Yards,Penalties,Penalty Yards,Fumbles,Fumbles Lost,Total TD,Passing TD,Rushing TD,Interception TD,Fumble TD,Punt Return TD,Kick-off Return TD,Field Goal Return TD,Extra Point Attempts,Extra Points Made,Extra Points Blocked,Two-Point Conversion Attempts,Two-Point Conversions Made,Field Goal Attempts,Field Goals Made,Field Goals Blocked,Redzone Visits,Redzone TD,Redzone Efficiency,Goal-to-go Attempts,Goal-to-go TD,Goal-to-go Efficiency,Safeties,Turnovers,Points Scored,Time of Possesion,Win / Loss
AFC,AFC East,BUF,REG,1,Soldier Field,61500,turf,outdoor,75,Partly Cloudy ,41,4,ENE,15,8,7,0,12,4,33.333,4,0,0,0,0,0,0,0,0,56,360,6.429,33,193,5.848,22,16,7.261,1,1,167,173,6,61,2,14,2,40,2,47,6,6,5,5,43,0,43.2,9,108,1,0,2,1,1,0,0,0,0,0,2,2,0,0,0,3,3,0,4,2,50,3,2,66.667,0,1,23,30:32,W
AFC,AFC West,KC,REG,1,Arrowhead Stadium,79451,turf,outdoor,72,Sunny,53,9,ESE,15,11,1,3,12,1,8.333,1,0,0,2,1,50,1,0,0,56,245,4.375,17,67,3.941,35,19,4.564,3,4,178,202,24,47,4,47,3,57,0,0,3,3,2,5,42.6,0,43,3,25,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,1,0,2,1,50,1,1,100,0,3,10,22:16,L
AFC,AFC South,TEN,REG,1,Arrowhead Stadium,79451,turf,outdoor,72,Sunny,53,9,ESE,24,18,5,1,16,7,43.75,6,1,0,0,0,0,0,0,0,75,405,5.4,38,162,4.263,33,22,6.568,0,4,243,266,23,10,1,-2,1,22,3,12,7,6,4,6,50.667,0,42.833,12,110,1,0,2,2,0,0,0,0,0,0,2,2,0,0,0,4,4,0,4,2,50,1,1,100,0,0,26,37:44,W
AFC,AFC North,PIT,REG,1,Heinz Field,65050,turf,outdoor,68,Sunny,53,9,E,24,16,6,2,12,4,33.333,3,1,0,1,1,100,1,0,0,67,503,7.507,29,127,4.379,35,24,9.895,1,3,376,390,14,46,3,46,2,29,0,0,5,5,1,6,43.667,0,40.333,11,96,1,0,3,1,2,0,0,0,0,0,3,3,0,0,0,3,3,0,3,1,33.333,1,0,0,0,1,30,32:27,W
AFC,AFC North,CLE,REG,1,Heinz Field,65050,turf,outdoor,68,Sunny,53,9,E,23,11,9,3,11,2,18.182,1,1,0,0,0,0,0,0,0,64,389,6.078,31,191,6.161,30,18,6,0,3,198,222,24,0,1,0,4,85,1,0,6,6,4,7,44.857,0,35.429,8,55,0,0,3,1,2,0,0,0,0,0,3,3,0,0,0,2,2,0,5,3,60,2,2,100,0,0,27,27:33,L
AFC,AFC South,HOU,REG,1,NRG Stadium,71054,turf,retractable_dome,,,,,,16,8,5,3,14,7,50,4,3,0,0,0,0,0,0,0,56,321,5.732,34,115,3.382,22,14,9.364,0,0,206,206,0,28,4,28,1,27,0,0,4,4,2,6,51,0,38.333,6,45,2,1,2,1,0,0,0,0,0,0,2,2,0,0,0,1,1,0,2,0,0,0,0,0,0,1,17,29:06,L
NFC,NFC East,WAS,REG,1,NRG Stadium,71054,turf,retractable_dome,,,,,,20,11,7,2,12,3,25,2,1,0,1,0,0,0,0,0,63,372,5.905,23,131,5.696,37,29,6.025,0,3,241,267,26,36,2,36,2,56,0,0,2,2,1,5,41,1,36.333,7,71,3,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,50,2,1,50,0,2,6,30:54,W
AFC,AFC North,BAL,REG,1,M&T Bank Stadium,71008,artificial,outdoor,75,Partly Cloudy ,48,8,N,26,16,8,2,17,8,47.059,6,2,0,2,1,50,0,1,0,85,423,4.976,20,94,4.7,62,35,5.062,1,3,329,345,16,2,2,2,4,109,0,0,4,4,4,4,42.25,0,31,3,29,2,1,2,1,1,0,0,0,0,0,1,1,0,1,0,2,1,0,3,1,33.333,0,0,0,0,2,16,29:30,L
AFC,AFC North,CIN,REG,1,M&T Bank Stadium,71008,artificial,outdoor,75,Partly Cloudy ,48,8,N,16,11,4,1,14,4,28.571,4,0,0,0,0,0,0,0,0,64,380,5.938,26,79,3.038,38,25,7.921,0,0,301,301,0,46,1,45,0,0,1,1,7,7,3,4,37.75,0,37.25,4,45,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,6,5,1,2,0,0,1,0,0,0,0,23,30:30,W
NFC,NFC West,STL,REG,1,Edward Jones Dome,66000,artificial,dome,71,Sunny,57,8,E,15,10,4,1,14,4,28.571,3,1,0,0,0,0,0,0,0,63,318,5.048,22,72,3.273,36,24,6,2,5,246,273,27,24,5,24,1,26,0,0,3,3,1,6,46.5,0,45.5,13,121,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,2,6,31:43,W
